id,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2076063813,3350,,Jürgen Schmidhuber,https://openalex.org/A5071172037,,CH,Dalle Molle Institute for Artificial Intelligence Research|Università della Svizzera italiana,https://openalex.org/I2614128279|https://openalex.org/I57201433,True,,0.99997701,17855,https://openalex.org/I2614128279|https://openalex.org/I57201433,Deep learning in neural networks: An overview,https://doi.org/10.1016/j.neunet.2014.09.003,European Commission,773.8298,https://pubmed.ncbi.nlm.nih.gov/25462637,False,en,True,green,Neural Networks,https://openalex.org/S123019304,0893-6080,journal,Neural Networks and Applications,2014-10-13,2014,review
https://openalex.org/W104184427,,,Ilya Sutskever|James Martens|George E. Dahl|Geoffrey E. Hinton,https://openalex.org/A5006446297|https://openalex.org/A5100891241|https://openalex.org/A5047062711|https://openalex.org/A5108093963,||https://orcid.org/0000-0002-0083-844X|,US|CA|CA|CA,Google (United States)|University of Toronto|University of Toronto|University of Toronto,https://openalex.org/I1291425158|https://openalex.org/I185261750|https://openalex.org/I185261750|https://openalex.org/I185261750,True|False|False|False,,0.99994732,3534,https://openalex.org/I1291425158,On the importance of initialization and momentum in deep learning,,,209.5594,,False,en,False,closed,,,,,Stochastic Gradient Optimization Techniques,2013-06-16,2013,article
https://openalex.org/W2892035503,2390,,Hassan Ismail Fawaz|Germain Forestier|Jonathan Weber|Lhassane Idoumghar|Pierre-Alain Müller,https://openalex.org/A5044378917|https://openalex.org/A5030958578|https://openalex.org/A5032791589|https://openalex.org/A5077151661|https://openalex.org/A5014963512,https://orcid.org/0000-0003-1384-5996|https://orcid.org/0000-0002-4960-7554|https://orcid.org/0000-0002-3694-4703|https://orcid.org/0000-0001-8853-3968|,FR|AU|FR|FR|FR|FR,Université de Haute-Alsace|Université de Haute-Alsace|Monash University|Université de Haute-Alsace|Université de Haute-Alsace|Université de Haute-Alsace,https://openalex.org/I2800745255|https://openalex.org/I2800745255|https://openalex.org/I56590836|https://openalex.org/I2800745255|https://openalex.org/I2800745255|https://openalex.org/I2800745255,True|False|False|False|False,,1.0,3125,https://openalex.org/I2800745255,Deep learning for time series classification: a review,https://doi.org/10.1007/s10618-019-00619-1,,245.8045,,False,en,True,bronze,Data Mining and Knowledge Discovery,https://openalex.org/S121920818,1384-5810,journal,Time Series Analysis and Forecasting,2019-03-02,2019,review
https://openalex.org/W2171865010,3300,,Mantas Lukoševičius|Herbert Jaeger,https://openalex.org/A5060855236|https://openalex.org/A5040645242,https://orcid.org/0000-0001-7963-285X|https://orcid.org/0000-0002-1230-4963,DE|DE,Constructor University|Constructor University,https://openalex.org/I193619901|https://openalex.org/I193619901,True|False,,0.99946362,2867,https://openalex.org/I193619901,Reservoir computing approaches to recurrent neural network training,https://doi.org/10.1016/j.cosrev.2009.03.005,,71.8286,,False,en,False,closed,Computer Science Review,https://openalex.org/S73121659,1574-0137,journal,Neural Networks and Reservoir Computing,2009-05-14,2009,article
https://openalex.org/W2923537029,,,Giuseppe Carleo|J. I. Cirac|K. Cranmer|Laurent Daudet|Maria Schuld|Naftali Tishby|Leslie Vogt-Maranto|Lenka Zdeborová,https://openalex.org/A5007408828|https://openalex.org/A5083228566|https://openalex.org/A5108167175|https://openalex.org/A5058259063|https://openalex.org/A5073832417|https://openalex.org/A5004273274|https://openalex.org/A5024209749|https://openalex.org/A5089268172,https://orcid.org/0000-0002-8887-4356|https://orcid.org/0000-0003-3359-1743|https://orcid.org/0000-0002-5769-7094|https://orcid.org/0000-0001-5811-1078|https://orcid.org/0000-0001-8626-168X|https://orcid.org/0000-0002-8086-4436|https://orcid.org/0000-0002-7006-4582|https://orcid.org/0000-0002-8377-3978,US|US|US|US|US|US|US|US,Flatiron Health (United States)|Flatiron Health (United States)|Flatiron Health (United States)|Flatiron Health (United States)|Flatiron Health (United States)|Flatiron Health (United States)|Flatiron Health (United States)|Flatiron Health (United States),https://openalex.org/I4210153546|https://openalex.org/I4210153546|https://openalex.org/I4210153546|https://openalex.org/I4210153546|https://openalex.org/I4210153546|https://openalex.org/I4210153546|https://openalex.org/I4210153546|https://openalex.org/I4210153546,True|False|False|False|False|False|False|False,,0.99995193,2377,https://openalex.org/I4210153546,Machine learning and the physical sciences,https://doi.org/10.1103/revmodphys.91.045002,National Science Foundation|Army Research Office|H2020 European Research Council,98.7533,,False,en,True,green,Reviews of Modern Physics,https://openalex.org/S73260565,0034-6861,journal,Machine Learning in Materials Science,2019-12-06,2019,article
https://openalex.org/W2887258823,3350,3350,Gouhei Tanaka|Toshiyuki Yamane|J. B. Héroux|Ryosho Nakane|Naoki Kanazawa|Seiji Takeda|Hidetoshi Numata|Daiju Nakano|Akira Hirose,https://openalex.org/A5025420478|https://openalex.org/A5014529674|https://openalex.org/A5111623204|https://openalex.org/A5085544355|https://openalex.org/A5019808935|https://openalex.org/A5002127145|https://openalex.org/A5111508522|https://openalex.org/A5036023447|https://openalex.org/A5075783559,https://orcid.org/0000-0002-6223-4406|https://orcid.org/0000-0002-8796-3007||https://orcid.org/0000-0002-9059-9349|https://orcid.org/0000-0002-4192-5558|https://orcid.org/0000-0002-7442-1997|||https://orcid.org/0000-0002-6936-9733,JP|JP|JP|JP|JP|JP|JP|JP|JP,The University of Tokyo|IBM Research - Tokyo|IBM Research - Tokyo|The University of Tokyo|IBM Research - Tokyo|IBM Research - Tokyo|IBM Research - Tokyo|IBM Research - Tokyo|The University of Tokyo,https://openalex.org/I74801974|https://openalex.org/I4210145865|https://openalex.org/I4210145865|https://openalex.org/I74801974|https://openalex.org/I4210145865|https://openalex.org/I4210145865|https://openalex.org/I4210145865|https://openalex.org/I4210145865|https://openalex.org/I74801974,True|False|False|False|False|False|False|False|False,cc-by,0.99955559,1979,https://openalex.org/I74801974,Recent advances in physical reservoir computing: A review,https://doi.org/10.1016/j.neunet.2019.03.005,New Energy and Industrial Technology Development Organization|New Energy and Industrial Technology Development Organization|Japan Society for the Promotion of Science,96.5389,https://pubmed.ncbi.nlm.nih.gov/30981085,False,en,True,hybrid,Neural Networks,https://openalex.org/S123019304,0893-6080,journal,Neural Networks and Reservoir Computing,2019-03-20,2019,review
https://openalex.org/W2033708181,9750,,Mattia Rigotti|Omri Barak|Melissa R. Warden|Xiao‐Jing Wang|Nathaniel D. Daw|Earl K. Miller|Stefano Fusi,https://openalex.org/A5081069627|https://openalex.org/A5031724343|https://openalex.org/A5079209663|https://openalex.org/A5101509100|https://openalex.org/A5029249257|https://openalex.org/A5084251670|https://openalex.org/A5071051042,https://orcid.org/0000-0001-6466-2810|https://orcid.org/0000-0002-7894-6344|https://orcid.org/0000-0003-2240-3997|https://orcid.org/0000-0003-3124-8474|https://orcid.org/0000-0001-5029-1430|https://orcid.org/0000-0002-0582-6958|https://orcid.org/0000-0002-3035-6652,US|US|US|US|US|US|US,New York University|Columbia University|Columbia University|Massachusetts Institute of Technology|Stanford University|New York University|Yale University|New York University|Massachusetts Institute of Technology|Columbia University,https://openalex.org/I57206974|https://openalex.org/I78577930|https://openalex.org/I78577930|https://openalex.org/I63966007|https://openalex.org/I97018004|https://openalex.org/I57206974|https://openalex.org/I32971472|https://openalex.org/I57206974|https://openalex.org/I63966007|https://openalex.org/I78577930,True|False|False|False|False|False|False,,0.99933055,1775,https://openalex.org/I57206974|https://openalex.org/I78577930,The importance of mixed selectivity in complex cognitive tasks,https://doi.org/10.1038/nature12160,,39.1906,https://pubmed.ncbi.nlm.nih.gov/23685452,False,en,True,green,Nature,https://openalex.org/S137773608,0028-0836,journal,Neural dynamics and brain function,2013-05-01,2013,article
https://openalex.org/W1977664984,3920,3920,Lennert Appeltant|Miguel C. Soriano|Guy Van der Sande|Jan Danckaert|Serge Massar|Joni Dambre|Benjamin Schrauwen|Cláudio R. Mirasso|Ingo Fischer,https://openalex.org/A5061203025|https://openalex.org/A5034369995|https://openalex.org/A5076190433|https://openalex.org/A5038836783|https://openalex.org/A5024306150|https://openalex.org/A5003710781|https://openalex.org/A5066537128|https://openalex.org/A5075774125|https://openalex.org/A5032100324,|https://orcid.org/0000-0002-6140-8451|https://orcid.org/0000-0002-6724-2587|https://orcid.org/0000-0002-7204-0031|https://orcid.org/0000-0002-4381-2485|https://orcid.org/0000-0002-9373-1210||https://orcid.org/0000-0003-2980-7038|https://orcid.org/0000-0003-1881-9842,BE|ES|BE|BE|BE|BE|BE|ES|ES,Vrije Universiteit Brussel|Institute for Cross-Disciplinary Physics and Complex Systems|Consejo Superior de Investigaciones Científicas|Universitat de les Illes Balears|Vrije Universiteit Brussel|Vrije Universiteit Brussel|Université Libre de Bruxelles|Ghent University|Ghent University|Consejo Superior de Investigaciones Científicas|Universitat de les Illes Balears|Institute for Cross-Disciplinary Physics and Complex Systems|Institute for Cross-Disciplinary Physics and Complex Systems|Universitat de les Illes Balears|Consejo Superior de Investigaciones Científicas,https://openalex.org/I13469542|https://openalex.org/I4210095952|https://openalex.org/I134820265|https://openalex.org/I50441567|https://openalex.org/I13469542|https://openalex.org/I13469542|https://openalex.org/I132053463|https://openalex.org/I32597200|https://openalex.org/I32597200|https://openalex.org/I134820265|https://openalex.org/I50441567|https://openalex.org/I4210095952|https://openalex.org/I4210095952|https://openalex.org/I50441567|https://openalex.org/I134820265,True|False|False|False|False|False|False|False|False,cc-by-nc-sa,0.99849864,1638,https://openalex.org/I13469542,Information processing using a single dynamical node as complex system,https://doi.org/10.1038/ncomms1476,Fonds De La Recherche Scientifique - FNRS|Fonds Wetenschappelijk Onderzoek|Ministerio de Ciencia e Innovación|Vlaamse regering,42.0954,https://pubmed.ncbi.nlm.nih.gov/21915110,False,en,True,hybrid,Nature Communications,https://openalex.org/S64187185,2041-1723,journal,Neural Networks and Reservoir Computing,2011-09-13,2011,article
https://openalex.org/W2136719407,,,Auke Jan Ijspeert|Jun Nakanishi|H. Hoffmann|Peter Pástor|Stefan Schaal,https://openalex.org/A5069603317|https://openalex.org/A5103273860|https://openalex.org/A5103394599|https://openalex.org/A5103760848|https://openalex.org/A5107392143,https://orcid.org/0000-0003-1417-9980|https://orcid.org/0000-0001-9026-6440|https://orcid.org/0000-0003-3817-5626||,CH||||DE|JP|US,École Polytechnique Fédérale de Lausanne||||University of Southern California|Max Planck Institute for Intelligent Systems|Advanced Telecommunications Research Institute International,https://openalex.org/I5124864||||https://openalex.org/I1174212|https://openalex.org/I4210135521|https://openalex.org/I4210104143,True|True|True|True|True,,0.99931955,1567,https://openalex.org/I1174212|https://openalex.org/I4210104143|https://openalex.org/I4210135521|https://openalex.org/I5124864,Dynamical Movement Primitives: Learning Attractor Models for Motor Behaviors,https://doi.org/10.1162/neco_a_00393,National Science Foundation|European Commission|FP7 Information and Communication Technologies,41.4747,https://pubmed.ncbi.nlm.nih.gov/23148415,False,en,True,green,Neural Computation,https://openalex.org/S207023548,0899-7667,journal,Model Reduction and Neural Networks,2012-11-13,2012,article
https://openalex.org/W2790388700,,,Kosuke Mitarai|Makoto Negoro|Masahiro Kitagawa|Keisuke Fujii,https://openalex.org/A5035558241|https://openalex.org/A5083496196|https://openalex.org/A5103033131|https://openalex.org/A5055647978,https://orcid.org/0000-0002-9056-316X|https://orcid.org/0000-0003-3482-3198|https://orcid.org/0000-0002-7434-6472|https://orcid.org/0000-0003-0390-9984,JP|JP|JP|JP,Osaka University|Osaka University|Japan Science and Technology Agency|Osaka University|Japan Science and Technology Agency|Kyoto University,https://openalex.org/I98285908|https://openalex.org/I98285908|https://openalex.org/I4210086780|https://openalex.org/I98285908|https://openalex.org/I4210086780|https://openalex.org/I22299242,True|False|False|False,cc-by,0.99887667,1535,https://openalex.org/I98285908,Quantum circuit learning,https://doi.org/10.1103/physreva.98.032309,Japan Society for the Promotion of Science|Japan Science and Technology Agency|Core Research for Evolutional Science and Technology|Precursory Research for Embryonic Science and Technology|Exploratory Research for Advanced Technology,60.0715,,False,en,True,hybrid,"Physical review. A/Physical review, A",https://openalex.org/S4210182288,2469-9926,journal,Quantum Computing Algorithms and Architecture,2018-09-10,2018,article
