id,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4229073893,,,Lianlin Li|Hanting Zhao|Che Liu|Long Li|Tie Jun Cui,https://openalex.org/A5075134790|https://openalex.org/A5010765289|https://openalex.org/A5014579261|https://openalex.org/A5100408793|https://openalex.org/A5009237669,https://orcid.org/0000-0002-2295-4425|https://orcid.org/0000-0001-5940-1069|https://orcid.org/0000-0002-9917-8487|https://orcid.org/0000-0003-0472-7314|https://orcid.org/0000-0002-5862-1497,CN|CN|CN|CN|CN,Xidian University|Peking University|Peking University|Southeast University|Xidian University|Peking University|Southeast University,https://openalex.org/I149594827|https://openalex.org/I20231570|https://openalex.org/I20231570|https://openalex.org/I76569877|https://openalex.org/I149594827|https://openalex.org/I20231570|https://openalex.org/I76569877,True|False|False|False|False,cc-by,0.99850131,324,https://openalex.org/I149594827|https://openalex.org/I20231570,"Intelligent metasurfaces: control, communication and computing",https://doi.org/10.1186/s43593-022-00013-3,Higher Education Discipline Innovation Project|National Key Research and Development Program of China,18.8868,,False,en,True,diamond,eLight,https://openalex.org/S4210205584,2097-1710,journal,Metamaterials and Metasurfaces Applications,2022-05-06,2022,article
https://openalex.org/W4297243441,9750,,Ya‐Nan Zhong|Jianshi Tang|Xinyi Li|Xiangpeng Liang|Zhengwu Liu|Yijun Li|Yue Xi|Peng Yao|Zhenqi Hao|Bin Gao|He Qian|Huaqiang Wu,https://openalex.org/A5023991719|https://openalex.org/A5006887059|https://openalex.org/A5100370289|https://openalex.org/A5015442364|https://openalex.org/A5009887780|https://openalex.org/A5100447640|https://openalex.org/A5070593271|https://openalex.org/A5082717970|https://openalex.org/A5064469610|https://openalex.org/A5008633924|https://openalex.org/A5100746962|https://openalex.org/A5040105498,https://orcid.org/0000-0003-0400-1441|https://orcid.org/0000-0001-8369-0067|https://orcid.org/0000-0003-1264-6258|https://orcid.org/0000-0001-5243-0457|https://orcid.org/0000-0001-7968-9469|https://orcid.org/0000-0002-5141-7987|https://orcid.org/0000-0001-5027-7938|https://orcid.org/0000-0003-0172-4310|https://orcid.org/0000-0001-7241-9650|https://orcid.org/0000-0002-2417-983X|https://orcid.org/0000-0003-3377-5366|https://orcid.org/0000-0001-8359-7997,CN|CN|CN|CN|GB|CN|CN|CN|CN|CN|CN|CN|CN,Soochow University|Tsinghua University|Tsinghua University|Tsinghua University|University of Glasgow|Tsinghua University|Tsinghua University|Tsinghua University|Tsinghua University|Tsinghua University|Tsinghua University|Tsinghua University|Tsinghua University|Tsinghua University,https://openalex.org/I3923682|https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I7882870|https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I99065089,True|False|False|False|False|False|False|False|False|False|False|False,,0.99816209,300,https://openalex.org/I3923682|https://openalex.org/I99065089,A memristor-based analogue reservoir computing system for real-time and power-efficient signal processing,https://doi.org/10.1038/s41928-022-00838-3,,36.2232,,False,en,False,closed,Nature Electronics,https://openalex.org/S4210239724,2520-1131,journal,Neural Networks and Reservoir Computing,2022-09-26,2022,article
https://openalex.org/W4392498941,3920,3920,Min Yan|Can Huang|Peter Bienstman|Peter Tiňo|Wei Lin|Jie Sun,https://openalex.org/A5015336322|https://openalex.org/A5089120808|https://openalex.org/A5067665186|https://openalex.org/A5051182859|https://openalex.org/A5045411384|https://openalex.org/A5004502095,https://orcid.org/0000-0002-5515-5865|https://orcid.org/0000-0002-9528-5939|https://orcid.org/0000-0001-6259-464X|https://orcid.org/0000-0003-2330-128X||https://orcid.org/0000-0003-2553-1804,CN|CN|BE|GB|CN|CN,Huawei Technologies (China)|Huawei Technologies (China)|Ghent University|University of Birmingham|Fudan University|Huawei Technologies (China),https://openalex.org/I2250955327|https://openalex.org/I2250955327|https://openalex.org/I32597200|https://openalex.org/I79619799|https://openalex.org/I24943067|https://openalex.org/I2250955327,True|False|False|False|False|False,cc-by,0.99960299,257,https://openalex.org/I2250955327,Emerging opportunities and challenges for the future of reservoir computing,https://doi.org/10.1038/s41467-024-45187-1,National Natural Science Foundation of China|Fonds Wetenschappelijk Onderzoek|Science and Technology Commission of Shanghai Municipality|Horizon 2020 Framework Programme|Engineering and Physical Sciences Research Council,86.2373,https://pubmed.ncbi.nlm.nih.gov/38448438,False,en,True,gold,Nature Communications,https://openalex.org/S64187185,2041-1723,journal,Neural Networks and Reservoir Computing,2024-03-06,2024,review
https://openalex.org/W4378802379,,,Sibo Cheng|César Quilodrán-Casas|Said Ouala|Alban Farchi|Che Liu|Pierre Tandeo|Ronan Fablet|Didier Lucor|Bertrand Iooss|Julien Brajard|Dunhui Xiao|Tijana Janjić|Weiping Ding|Yike Guo|Alberto Carrassi|Marc Bocquet|Rossella Arcucci,https://openalex.org/A5101622280|https://openalex.org/A5066699579|https://openalex.org/A5030132191|https://openalex.org/A5018870567|https://openalex.org/A5014579261|https://openalex.org/A5024011878|https://openalex.org/A5075497720|https://openalex.org/A5053095213|https://openalex.org/A5069128800|https://openalex.org/A5073300655|https://openalex.org/A5072175564|https://openalex.org/A5026121726|https://openalex.org/A5069969191|https://openalex.org/A5045081171|https://openalex.org/A5018511252|https://openalex.org/A5087494328|https://openalex.org/A5085852399,https://orcid.org/0000-0002-8707-2589|https://orcid.org/0000-0003-3948-9336|https://orcid.org/0000-0003-0554-3971|https://orcid.org/0000-0002-4162-8289|https://orcid.org/0000-0002-9917-8487|https://orcid.org/0000-0003-1647-8239|https://orcid.org/0000-0002-6462-423X||https://orcid.org/0000-0001-6988-2126|https://orcid.org/0000-0003-0634-1482|https://orcid.org/0000-0003-2461-523X|https://orcid.org/0000-0002-8837-0879|https://orcid.org/0000-0002-3180-7347|https://orcid.org/0000-0002-3075-2161|https://orcid.org/0000-0003-0722-5600|https://orcid.org/0000-0003-2675-0347|https://orcid.org/0000-0002-9471-0585,GB|GB|FR|FR|GB|FR|JP|FR|FR|FR|FR|CN|DE|CN|GB|HK|IT|FR|GB,Imperial College London|Imperial College London|Centre National de la Recherche Scientifique|Institut national de recherche en sciences et technologies du numérique|Université de Bretagne Occidentale|Laboratoire des Sciences et Techniques de l’Information de la Communication et de la Connaissance|IMT Atlantique|Centre d'Enseignement et de Recherche en Environnement Atmosphérique|Imperial College London|Centre National de la Recherche Scientifique|Institut national de recherche en sciences et technologies du numérique|Université de Bretagne Occidentale|Laboratoire des Sciences et Techniques de l’Information de la Communication et de la Connaissance|IMT Atlantique|RIKEN Center for Computational Science|Centre National de la Recherche Scientifique|Institut national de recherche en sciences et technologies du numérique|Université de Bretagne Occidentale|Laboratoire des Sciences et Techniques de l’Information de la Communication et de la Connaissance|IMT Atlantique|Centre National de la Recherche Scientifique|Université Paris-Saclay|Électricité de France (France)|Sorbonne Université|Nansen Environmental and Remote Sensing Center|Université Paris 1 Panthéon-Sorbonne|Tongji University|Catholic University of Eichstätt-Ingolstadt|Nantong University|Hong Kong University of Science and Technology|Imperial College London|University of Bologna|Centre d'Enseignement et de Recherche en Environnement Atmosphérique|Imperial College London,https://openalex.org/I47508984|https://openalex.org/I47508984|https://openalex.org/I1294671590|https://openalex.org/I1326498283|https://openalex.org/I161929037|https://openalex.org/I4210123702|https://openalex.org/I4210127572|https://openalex.org/I4210130371|https://openalex.org/I47508984|https://openalex.org/I1294671590|https://openalex.org/I1326498283|https://openalex.org/I161929037|https://openalex.org/I4210123702|https://openalex.org/I4210127572|https://openalex.org/I4210129730|https://openalex.org/I1294671590|https://openalex.org/I1326498283|https://openalex.org/I161929037|https://openalex.org/I4210123702|https://openalex.org/I4210127572|https://openalex.org/I1294671590|https://openalex.org/I277688954|https://openalex.org/I4210143116|https://openalex.org/I39804081|https://openalex.org/I4401200256|https://openalex.org/I51101395|https://openalex.org/I116953780|https://openalex.org/I199417121|https://openalex.org/I199305430|https://openalex.org/I200769079|https://openalex.org/I47508984|https://openalex.org/I9360294|https://openalex.org/I4210130371|https://openalex.org/I47508984,True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False,,0.9997046,254,https://openalex.org/I47508984,Machine Learning With Data Assimilation and Uncertainty Quantification for Dynamical Systems: A Review,https://doi.org/10.1109/jas.2023.123537,Leverhulme Trust|Deutsche Forschungsgemeinschaft|National Natural Science Foundation of China|Engineering and Physical Sciences Research Council|Fundamental Research Funds for the Central Universities,52.5492,,False,en,True,green,IEEE/CAA Journal of Automatica Sinica,https://openalex.org/S2484288132,2329-9266,journal,Meteorological Phenomena and Simulations,2023-05-31,2023,review
https://openalex.org/W4392705401,9750,,Xiangpeng Liang|Jianshi Tang|Ya‐Nan Zhong|Bin Gao|He Qian|Huaqiang Wu,https://openalex.org/A5015442364|https://openalex.org/A5006887059|https://openalex.org/A5023991719|https://openalex.org/A5008633924|https://openalex.org/A5100746962|https://openalex.org/A5040105498,https://orcid.org/0000-0001-5243-0457|https://orcid.org/0000-0001-8369-0067|https://orcid.org/0000-0003-0400-1441|https://orcid.org/0000-0002-2417-983X|https://orcid.org/0000-0003-3377-5366|https://orcid.org/0000-0001-8359-7997,CN|CN|CN|CN|CN|CN,Tsinghua University|Tsinghua University|Soochow University|Tsinghua University|Tsinghua University|Tsinghua University,https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I3923682|https://openalex.org/I99065089|https://openalex.org/I99065089|https://openalex.org/I99065089,False|True|False|False|False|False,,0.99929577,177,https://openalex.org/I99065089,Physical reservoir computing with emerging electronics,https://doi.org/10.1038/s41928-024-01133-z,National Natural Science Foundation of China|Tsinghua University,59.3516,,False,en,False,closed,Nature Electronics,https://openalex.org/S4210239724,2520-1131,journal,Neural Networks and Reservoir Computing,2024-03-12,2024,article
https://openalex.org/W4306168631,3350,,Heshan Wang|Yiping Zhang|Jing Liang|Lili Liu,https://openalex.org/A5083300391|https://openalex.org/A5100773047|https://openalex.org/A5101562150|https://openalex.org/A5100338915,https://orcid.org/0000-0001-7632-5475|https://orcid.org/0000-0001-7859-8741|https://orcid.org/0000-0002-4765-2626|https://orcid.org/0000-0001-9589-5529,CN|CN|CN|CN,Zhengzhou University|Zhengzhou University|Zhengzhou University|Shaanxi Normal University,https://openalex.org/I38877650|https://openalex.org/I38877650|https://openalex.org/I38877650|https://openalex.org/I88830068,False|False|True|False,,0.99568674,102,https://openalex.org/I38877650,DAFA-BiLSTM: Deep Autoregression Feature Augmented Bidirectional LSTM network for time series prediction,https://doi.org/10.1016/j.neunet.2022.10.009,,16.7778,https://pubmed.ncbi.nlm.nih.gov/36399979,False,en,False,closed,Neural Networks,https://openalex.org/S123019304,0893-6080,journal,Stock Market Forecasting Methods,2022-10-14,2022,article
https://openalex.org/W4403599590,2200,2200,Adnan Mehonić|Daniele Ielmini|Kaushik Roy|Onur Mutlu|Shahar Kvatinsky|Teresa Serrano‐Gotarredona|B. Linares-Barranco|Sabina Spiga|Sergey Savel’ev|A. G. Balanov|Nitin Chawla|Giuseppe Desoli|Gerardo Malavena|Christian Monzio Compagnoni|Zhongrui Wang|J. Joshua Yang|Syed Ghazi Sarwat|Abu Sebastian|Thomas Mikolajick|Stefan Slesazeck|Beatriz Noheda|B. Diény|Tuo‐Hung Hou|Akhil Varri|Frank Brückerhoff‐Plückelmann|Wolfram H. P. Pernice|Xixiang Zhang|Sebastián Pazos|Mario Lanza|Stefan Wiefels|Regina Dittmann|Wing H. Ng|Mark Buckwell|Horatio R. J. Cox|Daniel J. Mannion|Anthony J. Kenyon|Yingming Lu|Yuchao Yang|Damien Querlioz|Louis Hutin|Elisa Vianello|Sayeed Shafayet Chowdhury|Piergiulio Mannocci|Yimao Cai|Zhong Sun|Giacomo Pedretti|John Paul Strachan|Dmitri B. Strukov|Manuel Le Gallo|Stefano Ambrogio|Ilia Valov|Rainer Waser,https://openalex.org/A5061085745|https://openalex.org/A5054173368|https://openalex.org/A5046257293|https://openalex.org/A5050695684|https://openalex.org/A5014138496|https://openalex.org/A5079540787|https://openalex.org/A5025922642|https://openalex.org/A5016618651|https://openalex.org/A5113595604|https://openalex.org/A5073249067|https://openalex.org/A5086613101|https://openalex.org/A5047102959|https://openalex.org/A5076462300|https://openalex.org/A5063049108|https://openalex.org/A5090042508|https://openalex.org/A5062662868|https://openalex.org/A5009160187|https://openalex.org/A5017236774|https://openalex.org/A5003850300|https://openalex.org/A5072907754|https://openalex.org/A5028690491|https://openalex.org/A5076464765|https://openalex.org/A5024381546|https://openalex.org/A5102940029|https://openalex.org/A5039132958|https://openalex.org/A5015151220|https://openalex.org/A5075767125|https://openalex.org/A5056823655|https://openalex.org/A5026635084|https://openalex.org/A5078615149|https://openalex.org/A5066919809|https://openalex.org/A5050084815|https://openalex.org/A5068970709|https://openalex.org/A5041479318|https://openalex.org/A5028817946|https://openalex.org/A5078916182|https://openalex.org/A5054265316|https://openalex.org/A5057584787|https://openalex.org/A5063819347|https://openalex.org/A5065001562|https://openalex.org/A5046458712|https://openalex.org/A5081219427|https://openalex.org/A5052418631|https://openalex.org/A5103087227|https://openalex.org/A5018409395|https://openalex.org/A5082386666|https://openalex.org/A5008006179|https://openalex.org/A5035468831|https://openalex.org/A5027282232|https://openalex.org/A5028455655|https://openalex.org/A5024806651|https://openalex.org/A5103038374,https://orcid.org/0000-0002-2476-5038|https://orcid.org/0000-0002-1853-1614|https://orcid.org/0000-0003-4937-2115|https://orcid.org/0000-0002-0075-2312|https://orcid.org/0000-0001-7277-7271|https://orcid.org/0000-0001-5714-2526|https://orcid.org/0000-0002-1813-4889|https://orcid.org/0000-0001-7293-7503|https://orcid.org/0000-0003-0691-579X|https://orcid.org/0000-0002-1678-0756||https://orcid.org/0000-0002-3901-0770|https://orcid.org/0000-0002-5756-8989|https://orcid.org/0000-0001-9820-6709|https://orcid.org/0000-0003-2264-0677|https://orcid.org/0000-0001-8242-7531|https://orcid.org/0000-0002-2054-4887|https://orcid.org/0000-0001-5603-5243|https://orcid.org/0000-0003-3814-0378|https://orcid.org/0000-0002-0414-0321|https://orcid.org/0000-0001-8456-2286|https://orcid.org/0000-0002-0575-5301||https://orcid.org/0009-0008-5948-4181|https://orcid.org/0009-0006-5748-7069|https://orcid.org/0000-0003-4569-4213|https://orcid.org/0000-0002-3478-6414|https://orcid.org/0000-0002-7354-4530|https://orcid.org/0000-0003-4756-8632|https://orcid.org/0000-0003-2820-9677|https://orcid.org/0000-0003-1886-1864|https://orcid.org/0000-0001-9914-4909|https://orcid.org/0000-0003-0031-5929|https://orcid.org/0000-0002-1257-6299|https://orcid.org/0000-0003-0406-4186|https://orcid.org/0000-0003-2249-2184||https://orcid.org/0000-0003-4674-4059|https://orcid.org/0000-0002-0295-1008|https://orcid.org/0000-0001-6429-3867|https://orcid.org/0000-0002-8868-9951|https://orcid.org/0009-0008-7463-8396|https://orcid.org/0000-0002-0083-5804|https://orcid.org/0000-0003-2961-9176|https://orcid.org/0000-0003-1856-0279|https://orcid.org/0000-0002-4501-8672|https://orcid.org/0000-0002-1382-3677||https://orcid.org/0000-0003-1600-6151|https://orcid.org/0000-0002-5475-4209|https://orcid.org/0000-0002-0728-7214|https://orcid.org/0000-0002-5426-9967,GB|IT|US|CH|IL|ES|ES|IT|GB|GB|IN|US|IT|IT|US|US|CH|CH|GB|DE|NL|FR|TW|CZ|DE|CZ|DE|CZ|DE|SA|SA|SG|DE|DE|GB|GB|GB|GB|GB|CN|CN|FR|FR|FR|US|IT|CN|US|CN|US|US|IT|US|CH|US|US|US,"Torrington Hospital|University College London|Politecnico di Milano|Purdue University West Lafayette|ETH Zurich|Technion – Israel Institute of Technology|Instituto de Microelectrónica de Sevilla|Universidad de Sevilla|Instituto de Microelectrónica de Sevilla|Universidad de Sevilla|Institute for Microelectronics and Microsystems|Loughborough University|Loughborough University|STMicroelectronics (India)|STMicroelectronics (United States)|Politecnico di Milano|Politecnico di Milano|University of Southern California|University of Southern California|IBM Research - Zurich|IBM Research - Zurich|Torrington Hospital|University College London|NaMLab (Germany)|University of Groningen|Centre National de la Recherche Scientifique|Commissariat à l'Énergie Atomique et aux Énergies Alternatives|CEA Grenoble|Spintronique et Technologie des Composants|Université Grenoble Alpes|National Yang Ming Chiao Tung University|University of Münster|FZU ‒ Institute of Physics of the Academy of Sciences of the Czech Republic|University of Münster|FZU ‒ Institute of Physics of the Academy of Sciences of the Czech Republic|University of Münster|FZU ‒ Institute of Physics of the Academy of Sciences of the Czech Republic|King Abdullah University of Science and Technology|King Abdullah University of Science and Technology|National University of Singapore|Forschungszentrum Jülich|Forschungszentrum Jülich|Torrington Hospital|University College London|Torrington Hospital|University College London|Torrington Hospital|University College London|Turing Institute|British Library|The Alan Turing Institute|Torrington Hospital|University College London|Peking University|Peking University|Centre National de la Recherche Scientifique|Université Paris-Saclay|Centre de Nanosciences et de Nanotechnologies|Institut polytechnique de Grenoble|Commissariat à l'Énergie Atomique et aux Énergies Alternatives|CEA Grenoble|Laboratoire d'Électronique des Technologies de l'Information|Institut polytechnique de Grenoble|Commissariat à l'Énergie Atomique et aux Énergies Alternatives|CEA Grenoble|Laboratoire d'Électronique des Technologies de l'Information|Purdue University West Lafayette|Politecnico di Milano|Intel (United States)|Peking University|Intel (United States)|Peking University|Hewlett-Packard (United States)|Politecnico di Milano|University of California, Santa Barbara|IBM Research - Zurich|IBM Research - Almaden|Purdue University West Lafayette|Purdue University West Lafayette",https://openalex.org/I4210094920|https://openalex.org/I45129253|https://openalex.org/I93860229|https://openalex.org/I219193219|https://openalex.org/I35440088|https://openalex.org/I174306211|https://openalex.org/I4210104545|https://openalex.org/I79238269|https://openalex.org/I4210104545|https://openalex.org/I79238269|https://openalex.org/I4210165120|https://openalex.org/I143804889|https://openalex.org/I143804889|https://openalex.org/I4210094169|https://openalex.org/I4210106035|https://openalex.org/I93860229|https://openalex.org/I93860229|https://openalex.org/I1174212|https://openalex.org/I1174212|https://openalex.org/I4210126328|https://openalex.org/I4210126328|https://openalex.org/I4210094920|https://openalex.org/I45129253|https://openalex.org/I4210122489|https://openalex.org/I169381384|https://openalex.org/I1294671590|https://openalex.org/I2738703131|https://openalex.org/I3020098449|https://openalex.org/I4210135251|https://openalex.org/I899635006|https://openalex.org/I148366613|https://openalex.org/I22465464|https://openalex.org/I4210122644|https://openalex.org/I22465464|https://openalex.org/I4210122644|https://openalex.org/I22465464|https://openalex.org/I4210122644|https://openalex.org/I71920554|https://openalex.org/I71920554|https://openalex.org/I165932596|https://openalex.org/I171892758|https://openalex.org/I171892758|https://openalex.org/I4210094920|https://openalex.org/I45129253|https://openalex.org/I4210094920|https://openalex.org/I45129253|https://openalex.org/I4210094920|https://openalex.org/I45129253|https://openalex.org/I125680101|https://openalex.org/I2800016483|https://openalex.org/I4210128584|https://openalex.org/I4210094920|https://openalex.org/I45129253|https://openalex.org/I20231570|https://openalex.org/I20231570|https://openalex.org/I1294671590|https://openalex.org/I277688954|https://openalex.org/I4210100562|https://openalex.org/I106785703|https://openalex.org/I2738703131|https://openalex.org/I3020098449|https://openalex.org/I4210150049|https://openalex.org/I106785703|https://openalex.org/I2738703131|https://openalex.org/I3020098449|https://openalex.org/I4210150049|https://openalex.org/I219193219|https://openalex.org/I93860229|https://openalex.org/I1343180700|https://openalex.org/I20231570|https://openalex.org/I1343180700|https://openalex.org/I20231570|https://openalex.org/I1324840837|https://openalex.org/I93860229|https://openalex.org/I154570441|https://openalex.org/I4210126328|https://openalex.org/I4210085935|https://openalex.org/I219193219|https://openalex.org/I219193219,True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False,cc-by,0.99731714,101,https://openalex.org/I4210094920|https://openalex.org/I45129253,Roadmap to neuromorphic computing with emerging technologies,https://doi.org/10.1063/5.0179424,,20.4019,,False,en,True,gold,APL Materials,https://openalex.org/S150722692,2166-532X,journal,Advanced Memory and Neural Computing,2024-10-01,2024,article
https://openalex.org/W4401804789,3920,3920,Zhiyuan Li|Zhongshao Li|Wei Tang|Jiaping Yao|Zhipeng Dou|Junjie Gong|Yongfei Li|Beining Zhang|Yunxiao Dong|Jian Xia|Lin Sun|Peng Jiang|Xun Cao|Rui Yang|Xiangshui Miao|Ronggui Yang,https://openalex.org/A5100337952|https://openalex.org/A5045216307|https://openalex.org/A5071087797|https://openalex.org/A5044244000|https://openalex.org/A5051309325|https://openalex.org/A5101185762|https://openalex.org/A5100630829|https://openalex.org/A5020876933|https://openalex.org/A5088182302|https://openalex.org/A5100752111|https://openalex.org/A5101501404|https://openalex.org/A5004872920|https://openalex.org/A5009992843|https://openalex.org/A5030058072|https://openalex.org/A5100607859|https://openalex.org/A5026432177,https://orcid.org/0000-0001-7554-0536||https://orcid.org/0000-0002-9901-4933||https://orcid.org/0000-0002-5210-5889||https://orcid.org/0000-0002-0282-3073|https://orcid.org/0000-0002-4409-2563||https://orcid.org/0000-0002-2065-0487|https://orcid.org/0009-0005-2492-9310|https://orcid.org/0000-0001-6281-5617|https://orcid.org/0000-0003-4417-6350||https://orcid.org/0000-0002-3999-7421|https://orcid.org/0000-0002-3602-6945,CN|CN|CN|CN|CN|CN|CN|CN|CN|CN|CN|CN|CN|CN|CN|CN,Chinese Academy of Sciences|Shanghai Institute of Ceramics|University of Chinese Academy of Sciences|Huazhong University of Science and Technology|Chinese Academy of Sciences|Shanghai Institute of Ceramics|University of Chinese Academy of Sciences|Huazhong University of Science and Technology|Huazhong University of Science and Technology|Huazhong University of Science and Technology|Dalian Institute of Chemical Physics|Chinese Academy of Sciences|Huazhong University of Science and Technology|Huazhong University of Science and Technology|Huazhong University of Science and Technology|Huazhong University of Science and Technology|Huazhong University of Science and Technology|Dalian Institute of Chemical Physics|Chinese Academy of Sciences|Dalian Institute of Chemical Physics|Chinese Academy of Sciences|Chinese Academy of Sciences|Shanghai Institute of Ceramics|University of Chinese Academy of Sciences|Yangtze University|Huazhong University of Science and Technology|Yangtze Optical Electronic (China)|Huazhong University of Science and Technology|Yangtze University|Huazhong University of Science and Technology,https://openalex.org/I19820366|https://openalex.org/I4210163874|https://openalex.org/I4210165038|https://openalex.org/I47720641|https://openalex.org/I19820366|https://openalex.org/I4210163874|https://openalex.org/I4210165038|https://openalex.org/I47720641|https://openalex.org/I47720641|https://openalex.org/I47720641|https://openalex.org/I180585399|https://openalex.org/I19820366|https://openalex.org/I47720641|https://openalex.org/I47720641|https://openalex.org/I47720641|https://openalex.org/I47720641|https://openalex.org/I47720641|https://openalex.org/I180585399|https://openalex.org/I19820366|https://openalex.org/I180585399|https://openalex.org/I19820366|https://openalex.org/I19820366|https://openalex.org/I4210163874|https://openalex.org/I4210165038|https://openalex.org/I177739611|https://openalex.org/I47720641|https://openalex.org/I4210097463|https://openalex.org/I47720641|https://openalex.org/I177739611|https://openalex.org/I47720641,True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False,cc-by,0.99671667,93,https://openalex.org/I19820366|https://openalex.org/I4210163874|https://openalex.org/I4210165038|https://openalex.org/I47720641,Crossmodal sensory neurons based on high-performance flexible memristors for human-machine in-sensor computing system,https://doi.org/10.1038/s41467-024-51609-x,National Natural Science Foundation of China|National Key Research and Development Program of China,18.7859,https://pubmed.ncbi.nlm.nih.gov/39179548,False,en,True,gold,Nature Communications,https://openalex.org/S64187185,2041-1723,journal,Advanced Memory and Neural Computing,2024-08-23,2024,article
https://openalex.org/W4388071659,5300,,B. J. Chen|Minggang Zeng|Khoong Hong Khoo|Debasis Das|Xuanyao Fong|Shunsuke Fukami|Sai Li|Weisheng Zhao|S. Parkin|S. N. Piramanayagam|Sze Ter Lim,https://openalex.org/A5060427213|https://openalex.org/A5060216728|https://openalex.org/A5026445892|https://openalex.org/A5101486917|https://openalex.org/A5085588788|https://openalex.org/A5069574310|https://openalex.org/A5100326560|https://openalex.org/A5066473925|https://openalex.org/A5035053678|https://openalex.org/A5019393830|https://openalex.org/A5017730297,https://orcid.org/0000-0003-0848-4890|https://orcid.org/0000-0002-8648-9905|https://orcid.org/0000-0002-4628-1202|https://orcid.org/0000-0002-4293-5838|https://orcid.org/0000-0001-5939-7389|https://orcid.org/0000-0001-5750-2990|https://orcid.org/0000-0003-0253-843X|https://orcid.org/0000-0001-8088-0404|https://orcid.org/0000-0003-4702-6139|https://orcid.org/0000-0002-3178-2960|,SG|SG|SG|SG|SG|JP|CN|CN|DE|SG|SG,"Agency for Science, Technology and Research|Institute of High Performance Computing|Agency for Science, Technology and Research|Institute for Infocomm Research|Agency for Science, Technology and Research|Institute of High Performance Computing|National University of Singapore|National University of Singapore|Tohoku University|Spintronics Research Network of Japan|Beihang University|Beihang University|Max Planck Institute of Microstructure Physics|Nanyang Technological University|Agency for Science, Technology and Research|Institute of Materials Research and Engineering",https://openalex.org/I115228651|https://openalex.org/I3004594783|https://openalex.org/I115228651|https://openalex.org/I3005327000|https://openalex.org/I115228651|https://openalex.org/I3004594783|https://openalex.org/I165932596|https://openalex.org/I165932596|https://openalex.org/I201537933|https://openalex.org/I4210125833|https://openalex.org/I82880672|https://openalex.org/I82880672|https://openalex.org/I4210089806|https://openalex.org/I172675005|https://openalex.org/I115228651|https://openalex.org/I4210123095,True|False|False|False|False|False|False|False|False|True|True,,0.99086322,90,https://openalex.org/I115228651|https://openalex.org/I172675005|https://openalex.org/I3004594783|https://openalex.org/I4210123095,Spintronic devices for high-density memory and neuromorphic computing – A review,https://doi.org/10.1016/j.mattod.2023.10.004,,11.5502,,False,en,False,closed,Materials Today,https://openalex.org/S63322718,1369-7021,journal,Advanced Memory and Neural Computing,2023-10-31,2023,review
https://openalex.org/W4224903266,2200,2200,Shahrokh Shahi|Flavio H. Fenton|Elizabeth M. Cherry,https://openalex.org/A5006702404|https://openalex.org/A5067356938|https://openalex.org/A5053674481,https://orcid.org/0000-0001-7158-4136|https://orcid.org/0000-0002-4089-8850|https://orcid.org/0000-0001-5194-9572,US|US|US,Georgia Institute of Technology|Georgia Institute of Technology|Georgia Institute of Technology,https://openalex.org/I130701444|https://openalex.org/I130701444|https://openalex.org/I130701444,True|False|False,cc-by-nc-nd,0.98756261,86,https://openalex.org/I130701444,Prediction of chaotic time series using recurrent neural networks and reservoir computing techniques: A comparative study,https://doi.org/10.1016/j.mlwa.2022.100300,National Science Foundation,11.5218,https://pubmed.ncbi.nlm.nih.gov/35755176,False,en,True,gold,Machine Learning with Applications,https://openalex.org/S4210201048,2666-8270,journal,Neural Networks and Reservoir Computing,2022-04-08,2022,article
