id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
80	abbott l.f.	0.5668	0.1628	2	72	518	38
361	asada m.	0.1169	-0.0613	5	61	362	29
611	bengio y.	-0.1493	0.5619	3	68	331	27
679	bienstman p.	1.2158	-0.9502	4	47	683	57
713	bishop c.m.	-0.1177	-0.3735	3	73	504	48
994	campenhout j.v.	0.7243	0.2486	2	81	886	61
1391	cottrell g.w.	-0.8582	-0.0049	1	64	364	37
1628	demiris y.	-0.6827	0.128	3	58	390	35
1736	dominey p.f.	0.216	0.4731	8	70	767	47
1777	doya k.	0.0059	0.5093	3	65	389	23
1925	elman j.l.	-0.5416	0.47	3	57	255	35
2074	feng z.	-0.8535	-0.3104	1	50	266	29
2110	fischer i.	1.2651	-0.7468	4	57	1469	125
2185	frasconi p.	-0.1671	-0.0067	3	78	531	34
2265	fyfe c.	-1.0235	0.7926	7	24	186	28
2370	gerstner w.	0.6559	0.6636	2	69	564	45
2412	gimzewski j.k.	1.1933	-0.59	4	40	239	20
2428	glass l.	-0.0217	-0.3662	1	72	341	30
2482	gomez f.	-0.7099	-0.0208	7	74	570	34
2653	haas h.	0.0342	-0.3607	1	95	3416	378
2705	han m.	-0.5768	-0.5536	1	81	993	101
2753	harris j.g.	-0.3977	-0.3868	1	88	1026	88
2773	hass h.	-0.4091	-0.329	5	57	269	28
2791	hauser h.	-0.6959	-0.7653	1	57	309	21
2810	haykin s.	-0.5141	0.1084	5	88	1605	178
2938	hinton g.	0.0645	-0.3887	3	48	309	32
3017	hopfield j.j.	0.4858	0.4851	2	66	407	21
3028	hosseiny r.	-0.6275	0.4608	6	42	193	20
3284	izhikevich e.m.	0.544	0.902	2	44	204	27
3305	jaeger h.	-0.0511	-0.0946	1	97	11549	1476
3515	kaminski w.a.	0.9579	1.5588	2	14	75	22
3545	kasabov n.	1.0959	1.0487	2	34	288	36
3580	kawato m.	-0.3149	0.816	3	35	176	26
3744	kohonen t.	-0.412	0.6904	7	45	258	25
3959	larger l.	0.9005	-1.256	4	43	418	39
4064	legenstein r.	0.5744	-0.3877	4	79	701	50
