title,year,authors,venue,subfield,landmark,doi_or_id;
Chaotic time series prediction based on a novel robust echo state network, 2012, Li, D. / Han, M. /  Wang, J. , IEEE Transactions on Neural Networks and Learning Systems  23(5), 787-799, Nonlinear Dynamics & Chaos, Chaotic time series prediction, doi: 10.1109/TNNLS.2012.2188414;
The echo state approach to analysing and training recurrent neural networks,2001,Jaeger H.,GMD Technical Report 148,General RC / ESN Methods,ESN founding paper — introduced echo state networks and the echo state property,;
Real-time computing without stable states: a new framework for neural computation based on perturbations,2002,Maass W. / Natschlaeger T. / Markram H.,Neural Computation,Neuroscience & Comp. Neuro,LSM founding paper — introduced liquid state machines with spiking neurons,10.1162/089976602760407955;
Harnessing nonlinearity: predicting chaotic systems and saving energy in wireless communication,2004,Jaeger H. / Haas H.,Science,Nonlinear Dynamics & Chaos,First high-impact application — chaotic time-series prediction in Science journal; brought RC to wider community,10.1126/science.1091277
Information processing using a single dynamical node as complex system,2011,Appeltant L. / Soriano M.C. / Van der Sande G. et al.,Nature Communications,Photonics & Optics,Single-node delay RC — opened hardware implementation with minimal physical complexity; key for photonics,10.1038/ncomms1476
Model-free prediction of large spatiotemporally chaotic systems from data: a reservoir computing approach,2018,Pathak J. / Hunt B. / Girvan M. / Lu Z. / Ott E.,Physical Review Letters,Nonlinear Dynamics & Chaos,RC predicts chaos — demonstrated RC outperforming LSTM on chaotic Kuramoto-Sivashinsky; PRL landmark,10.1103/PhysRevLett.120.024102
Recent advances in physical reservoir computing: a review,2019,Tanaka G. / Yamane T. / Heroux J.B. et al.,Neural Networks,Physical & Hardware RC,Physical RC review — comprehensive survey that defined the physical RC subfield and taxonomy,10.1016/j.neunet.2019.01.006;
Emerging opportunities and challenges for the future of reservoir computing,2024,Yan M. / Huang C. / Bienstman P. et al.,Nature Communications,General RC / ESN Methods,Future RC roadmap — Nature Communications perspective summarizing open problems and directions,10.1038/s41467-024-45187-1;
Information processing via physical soft body, 2015, Nakajima K. / Hauser H. / Li T. / Pfeifer R.,Scientific reports 5(1) 10487, Physcial & Hardware RC, Information processing with physcial soft body, https://doi.org/10.1038/srep10487;
Reservoir computing using dynamic memristors for temporal information processing, 2017, Du C. / Cai F. / Zidan M. A. / Ma W. / Lee S. H. / Lu W. D., Nature communications 8(1) 2204, Signal Processing, RC with dynamic memristors for information processing, https://doi.org/10.1038/s41467-017-02337-y.;
Next generation reservoir computing,2021,Gauthier D.J. / Bollt E. / Griffith A. / Barbosa W.A.S.,Nature Communications,General RC / ESN Methods,Next-gen RC — replaced random reservoir with nonlinear vector autoregression; reduced parameters dramatically,10.1038/s41467-021-25801-2
Quantum reservoir processing,2019,Fujii K. / Nakajima K.,npj Quantum Information,Quantum RC,Quantum RC founding paper — showed quantum systems can serve as reservoirs with exponential state space,10.1038/s41534-017-0033-3;
Photonic information processing beyond Turing: an optoelectronic implementation of reservoir computing,2012,Larger L. / Soriano M.C. / Brunner D. et al.,Optics Express,Photonics & Optics,Parallel photonic RC — demonstrated real-time hardware photonic reservoir with delay lines,10.1364/OE.20.003241;
A practical guide to applying echo state networks,2012,Lukosevicius M.,Neural Networks: Tricks of the Trade (Springer),General RC / ESN Methods,Standard practitioner reference — hyperparameter tuning guide used by the entire community,10.1007/978-3-642-35289-8_36;
Reservoir computing universality with stochastic inputs,2018,Grigoryeva L. / Ortega J.P.,IEEE Transactions on Neural Networks and Learning Systems,Mathematics & Theory,Stochastic universality — extended universality proof to stochastic input settings,10.1109/TNNLS.2018.2868outer;
