title,year,citations,doi,subfield,landmark_subfield,landmark,landmark_authors,cites_per_year
NIPS 2002: Proceedings of the 15th International Conference on Neural Information Processing Systems,2002,,,Nonlinear Dynamics & Chaos,,,,0.0
Real-time computing without stable states: A new framework for neural computation based on perturbations,2002,,10.1162/089976602760407955,Nonlinear Dynamics & Chaos,,,,141.7
Adaptive nonlinear system identification with Echo State networks,2003,,,Nonlinear Dynamics & Chaos,,,,12.73
Pattern recognition in a bucket,2003,,10.1007/978-3-540-39432-7_63,Physical & Hardware RC,,,,10.82
Approaches based on Markovian architectural bias in recurrent neural networks,2003,,,General RC / ESN Methods,,,,0.05
The recurrent IML-network,2003,,10.1007/3-540-44868-3_39,Mathematics & Theory,,,,0.0
"Dimension change, coarse grained coding and pattern recognition in spatio-temporal nonlinear systems.",2003,,10.1142/S0219635203000160,Nonlinear Dynamics & Chaos,,,,0.05
Echo state networks and self-prediction,2004,,10.1007/978-3-540-27835-1_4,Neuroscience & Comp. Neuro,,,,0.62
Liquid state machine built of Hodgkin-Huxley neurons and pattern recognition,2004,,10.1016/j.neucom.2004.01.051,Neuroscience & Comp. Neuro,,,,1.19
Genetic regulatory systems modeled by recurrent neural network,2004,,10.1007/978-3-540-28648-6_83,Nonlinear Dynamics & Chaos,,,,0.33
On the computational power of circuits of spiking neurons,2004,,10.1016/j.jcss.2004.04.001,Neuroscience & Comp. Neuro,,,,11.29
Computation within cultured neural networks,2004,,,Nonlinear Dynamics & Chaos,,,,0.19
Turbine engine modeling using temporal neural networks for incipient fault detection and diagnosis,2004,,10.1115/gt2004-53649,Control & Robotics,,,,0.19
Decoding a temporal population code,2004,,10.1162/0899766041732459,Neuroscience & Comp. Neuro,,,,0.62
Harnessing Nonlinearity: Predicting Chaotic Systems and Saving Energy in Wireless Communication,2004,,10.1126/science.1091277,Nonlinear Dynamics & Chaos,,,,156.95
Finding good echo state networks to control an underwater robot using evolutionary computations,2004,,,Control & Robotics,,,,0.48
Echo state networks for mobile robot modeling and control,2004,,10.1007/978-3-540-25940-4_14,Control & Robotics,,,,1.52
Identification of motion with Echo State Network,2004,,,Mathematics & Theory,,,,2.71
Optimization of parameters of echo state network and its application to underwater robot,2004,,,Control & Robotics,,,,0.29
Ocean '04 - MTS/IEEE techno-ocean '04: Bridges across the oceans - Conference proceedings - Volume 3,2004,,,Climate & Earth Sciences,,,,0.0
Liquid state machine built of Hodgkin-Huxley neurons,2004,,10.15388/informatica.2004.044,General RC / ESN Methods,,,,0.43
Computing with transiently stable states,2005,,10.1109/IJCNN.2005.1556092,Nonlinear Dynamics & Chaos,,,,0.95
Learning mappings in brain machine interfaces with echo state networks,2005,,10.1109/ICASSP.2005.1416283,General RC / ESN Methods,,,,1.3
"Innovations in Applied Artificial Intelligence - 18th International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems, IEA/AIE 2005, Proceedings",2005,,,Physical & Hardware RC,,,,0.0
Modeling reward functions for incomplete state representations via Echo State Networks,2005,,10.1109/IJCNN.2005.1556402,Nonlinear Dynamics & Chaos,,,,1.95
Gas turbine transient system empirical modeling for incipient fault detection and diagnosis using Echo State networks,2005,,,General RC / ESN Methods,,,,0.0
Reservoir riddles: Suggestions for echo state network research (extended abstract),2005,,10.1109/IJCNN.2005.1556090,Nonlinear Dynamics & Chaos,,,,5.35
Echo state networks used for motor control,2005,,10.1109/ROBOT.2005.1570399,Control & Robotics,,,,3.4
Feed-forward echo state networks,2005,,10.1109/IJCNN.2005.1556094,Nonlinear Dynamics & Chaos,,,,1.1
Multi-step forecasting using echo state networks,2005,,10.1109/eurcon.2005.1630268,Nonlinear Dynamics & Chaos,,,,0.4
Towards the modeling of dissociated cortical tissue in the liquid state machine framework,2005,,10.1109/IJCNN.2005.1556238,Neuroscience & Comp. Neuro,,,,0.05
A multiple objective optimization based echo state network tree and application to intrusion detection,2005,,,General RC / ESN Methods,,,,0.85
Isolated word recognition with the Liquid State Machine: A case study,2005,,10.1016/j.ipl.2005.05.019,Neuroscience & Comp. Neuro,,,,11.05
Movement prediction from real-world images using a liquid state machine,2005,,10.1007/11504894_19,Control & Robotics,,,,0.65
Short term memory and pattern matching with simple echo state networks,2005,,10.1007/11550822_3,Mathematics & Theory,,,,1.2
Echo state networks: Appeal and challenges,2005,,10.1109/IJCNN.2005.1556091,General RC / ESN Methods,,,,3.5
Artificial Neural Networks: Biological Inspirations - ICANN 2005 - 15th International Conference Proceedings,2005,,,Neuroscience & Comp. Neuro,,,,0.0
Direct adaptive control: An echo state network and genetic algorithm approach,2005,,10.1109/IJCNN.2005.1556095,Control & Robotics,,,,1.9
Analyzing the state space property of echo state networks for chaotic system prediction,2005,,10.1109/IJCNN.2005.1556081,Nonlinear Dynamics & Chaos,,,,0.35
Co-evolutionary learning in liquid architectures,2005,,10.1007/11494669_30,Neuroscience & Comp. Neuro,,,,0.0
A tighter bound for the echo state property,2006,,10.1109/TNN.2006.872357,Mathematics & Theory,,,,7.16
Guaranteed locally-stable macromodels of digital devices via echo state networks,2006,,10.1109/EPEP.2006.321192,Signal Processing & Comms,,,,0.37
Mapping of natural patterns by liquid architectures implementing neural cliques,2006,,10.1007/978-3-540-36266-1_12,Neuroscience & Comp. Neuro,,,,0.0
Spatiotemporal pattern recognition via liquid state machines,2006,,10.1109/ijcnn.2006.246880,Neuroscience & Comp. Neuro,,,,2.42
Comparing different recurrent neural architectures on a specific task from Vanishing Gradient effect perspective,2006,,,General RC / ESN Methods,,,,0.47
Link quality and signal-to-noise ratio in 802.11 WLAN with fading: A time-series analysis,2006,,10.1109/VTCF.2006.450,Signal Processing & Comms,,,,0.53
Reservoir-based techniques for speech recognition,2006,,10.1109/ijcnn.2006.246804,Signal Processing & Comms,,,,6.11
Preparing more effective liquid state machines using hebbian learning,2006,,10.1109/ijcnn.2006.246996,Signal Processing & Comms,,,,2.0
Critical echo state networks,2006,,10.1007/11840817_69,Mathematics & Theory,,,,1.32
Reinforcement learning with echo state networks,2006,,10.1007/11840817_86,Control & Robotics,,,,2.05
Strong systematicity in sentence processing by an echo state network,2006,,10.1007/11840817_53,General RC / ESN Methods,,,,0.84
Complex systems modeling using scale-free highly-clustered echo state network,2006,,,General RC / ESN Methods,,,,1.05
Liquid state machine by spatially coupled oscillators,2006,,10.1007/11881070_130,Nonlinear Dynamics & Chaos,,,,0.11
Echo state networks for determining harmonic contributions from nonlinear loads,2006,,10.1109/ijcnn.2006.246639,Nonlinear Dynamics & Chaos,,,,0.32
Harnessing non-linearity by Sigmoid-wavelet Hybrid Echo State Networks (SWHESN),2006,,10.1109/WCICA.2006.1712919,Nonlinear Dynamics & Chaos,,,,1.37
Minimum mean squared error time series classification using an echo state network prediction model,2006,,,Signal Processing & Comms,,,,3.21
Recurrent neural network based bit error rate prediction for narrowband fading channel,2007,,,Signal Processing & Comms,,,,0.0
A closed form solution for multiple-input spike based adaptive filters,2007,,10.1109/IJCNN.2007.4371276,Neuroscience & Comp. Neuro,,,,0.0
Signal processing with echo state networks in the complex domain,2007,,10.1109/MLSP.2007.4414341,Signal Processing & Comms,,,,0.67
The cerebellum as a liquid state machine,2007,,10.1016/j.neunet.2007.04.004,Neuroscience & Comp. Neuro,,,,8.5
Echo state networks for motor control of human ECoG neuroprosthetics,2007,,10.1109/CNE.2007.369722,Control & Robotics,,,,0.33
An experimental unification of reservoir computing methods,2007,,10.1016/j.neunet.2007.04.003,Nonlinear Dynamics & Chaos,,,,56.44
Movement prediction from real-world images using a liquid state machine,2007,,10.1007/s10489-006-0007-1,Neuroscience & Comp. Neuro,,,,2.33
Collective behavior of a small-world recurrent neural system with scale-free distribution,2007,,10.1109/TNN.2007.894082,Nonlinear Dynamics & Chaos,,,,7.33
Quantifying the effect of learning on recurrent spiking neurons,2007,,10.1109/IJCNN.2007.4371009,Neuroscience & Comp. Neuro,,,,0.56
